company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Viscofan Cellulose Casings Plant,"Bridgewater, New Jersey",US,2023,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Viscofan Cellulose Casings Plant,"Danville, Illinois",US,2023,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Westrock Coffee,"Conway, Arkansas",US,2023,,,,,48681,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Abbott Nutrition,"Tipp City, Ohio",US,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
American Foods Group,"Foristell, Missouri",US,2024,,,,,46452,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
AquaBounty,"Pioneer, Ohio",US,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Aquacon,"Federalsburg, Maryland",US,2024,300.0,USD,285.12,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Cargill,"Regina, Saskatchewan",CA,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Constellation Brands,"Nava, Coahula, MX",US,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Constellation Brands,"Obregon, Sonora, MX",US,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Darigold,"Port of Pasco, Washington",US,2024,500.0,USD,475.21,,37161,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Diana Pet Food,"Querétaro, MEX",US,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Frito-Lay,"Killingly, Connecticut",US,2024,235.0,USD,223.35,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Great Lakes Cheese,"Franklinville, New York",US,2024,500.0,USD,475.21,,44593,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
J.M. Smucker Company,"Birmingham, Alabama",US,2024,1000.0,USD,950.41,,83613,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.79
Kitchen 17,"Huntington, Indiana",US,2024,,,,,2323,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
METRO,"Laval, Quebec",CA,2024,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
McKee Foods,"Apison, Tennessee",US,2024,100.0,USD,95.04,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
